distance,time
1.0802055689752777E11,86460.0
1.062095808269069E11,172810.0
1.0440229207990515E11,259270.0
1.0260320494660588E11,345620.0
1.0080798322397067E11,432080.0
9.90215103034032E10,518430.0
9.723956222408344E10,604890.0
9.546699313092252E10,691240.0
9.369959252222072E10,777700.0
9.194214410271907E10,864050.0
9.019266016773688E10,950400.0
8.844917197125523E10,1036860.0
8.67163380591073E10,1123210.0
8.498994366696179E10,1209670.0
8.32745589497191E10,1296020.0
8.15659687130363E10,1382480.0
7.986865336328206E10,1468830.0
7.817839980875964E10,1555290.0
7.649959870369191E10,1641640.0
7.482804187560683E10,1728100.0
7.316803126518193E10,1814450.0
7.151746311856912E10,1900800.0
6.98742627257358E10,1987260.0
6.824260273376616E10,2073610.0
6.661829978334272E10,2160070.0
6.500544376441725E10,2246420.0
6.339986594859974E10,2332880.0
6.180557683594273E10,2419230.0
6.021842470236722E10,2505690.0
5.864234441817903E10,2592040.0
5.707320336444E10,2678500.0
5.55148648400193E10,2764850.0
5.396518578623309E10,2851200.0
5.242205624108554E10,2937660.0
5.088924022704167E10,3024010.0
4.936266006470425E10,3110470.0
4.784601913858816E10,3196820.0
4.6335263780424835E10,3283280.0
4.483404125949694E10,3369630.0
4.333832260032785E10,3456090.0
4.1851703489520485E10,3542440.0
4.0370180018238976E10,3628900.0
3.889730079435245E10,3715250.0
3.743095095171819E10,3801600.0
3.5969044779307945E10,3888060.0
3.451506858611398E10,3974410.0
3.3065080883562202E10,4060870.0
3.162253184552235E10,4147220.0
3.0183504180816513E10,4233680.0
2.875141612482471E10,4320030.0
2.732237379849534E10,4406490.0
2.589976756926741E10,4492840.0
2.4479725986954124E10,4579300.0
2.306561548523899E10,4665650.0
2.1655379995033657E10,4752000.0
2.024698346998616E10,4838460.0
1.8843763506296707E10,4924810.0
1.74418993085309E10,5011270.0
1.6044713722866932E10,5097620.0
1.4648403672065039E10,5184080.0
1.3256280638173641E10,5270430.0
1.1864557600522343E10,5356890.0
1.0476537853787416E10,5443240.0
9.088448582236643E9,5529700.0
7.703587727058163E9,5616050.0
6.319956264447891E9,5702400.0
4.935562891976576E9,5788860.0
3.553699576021389E9,5875210.0
2.170609654964302E9,5961670.0
7.895397287949218E8,6048020.0
4832567.303437374,6097410.0
